Company,Careers,Contact
Google (London),https://careers.google.com/locations/london/,https://about.google/contact/
Meta (Facebook) London,https://www.metacareers.com/locations/london,https://www.metacareers.com/contact
Amazon UK / AWS London,https://www.amazon.jobs/en/locations/london,https://www.amazon.co.uk/gp/help/customer/display.html
Microsoft UK,"https://careers.microsoft.com/v2/global/en/search.html?location=United%20Kingdom,London",https://www.microsoft.com/en-gb/about/offices/uk/london
Apple (UK),https://jobs.apple.com/en-gb/search?location=united-kingdom-GBR&job_functions=corporate,https://www.apple.com/uk/contact/
IBM UK,https://www.ibm.com/careers/uk-en/search/?filters=primary_country:GB,https://www.ibm.com/uk-en/contact
Oracle UK,https://careers.oracle.com/jobs/#en/sites/jobsearch/requisitions?keyword=london,https://www.oracle.com/uk/corporate/contact/
SAP UK,https://jobs.sap.com/search/?q=&locationsearch=london,https://www.sap.com/uk/about/legal/impressum.html
Salesforce UK,https://www.salesforce.com/uk/company/careers/locations/london/,https://www.salesforce.com/uk/company/contact/
Adobe UK,https://careers.adobe.com/us/en/search-results?m=2&l=london,https://www.adobe.com/uk/about-adobe/contact.html
Bloomberg (London),https://www.bloomberg.com/company/careers/locations/london/,https://www.bloomberg.com/company/contact/
Palantir (UK),https://www.palantir.com/careers/,https://www.palantir.com/contact/
Accenture UK,https://www.accenture.com/gb-en/careers,https://www.accenture.com/gb-en/about/contact-us
Capgemini UK,https://www.capgemini.com/gb-en/careers/,https://www.capgemini.com/gb-en/contact-us/
Deloitte Digital UK,https://apply.deloitte.co.uk/uk/en/c/deloitte-digital-jobs,https://www2.deloitte.com/uk/en/footerlinks1/contact-us.html
PwC UK (Technology),https://www.pwc.co.uk/careers/experienced-jobs/technology.html,https://www.pwc.co.uk/who-we-are/contact-us.html
KPMG UK (Technology),https://www.kpmgcareers.co.uk/experienced-professionals/consulting/technology/,https://kpmg.com/uk/en/home/about/contact-us.html
EY UK (Technology),https://www.ey.com/en_uk/careers/experienced/consulting/technology,https://www.ey.com/en_uk/contact-us
BAE Systems Digital Intelligence,https://www.baesystems.com/en/cybersecurity/careers,https://www.baesystems.com/en/contact-us
BT Group (Digital/Tech),https://jobs.btplc.com,https://www.bt.com/contact
Vodafone UK,https://careers.vodafone.com/locations/united-kingdom/,https://www.vodafone.co.uk/help-and-support
Sky (Technology),https://careers.sky.com/areas-of-work/technology/,https://www.skygroup.sky/contact-us
Ocado Technology,https://careers.ocadogroup.com/teams/technology,https://www.ocadogroup.com/contact-us/
Deliveroo (Tech),https://careers.deliveroo.co.uk/departments/technology,https://deliveroo.co.uk/contact
Revolut,https://www.revolut.com/careers/,https://www.revolut.com/help/
Monzo,https://monzo.com/careers/,https://monzo.com/help/
Starling Bank,https://www.starlingbank.com/careers/,https://www.starlingbank.com/contact/
Wise (TransferWise),https://www.wise.jobs/teams/,https://wise.com/help/
Checkout.com,https://www.checkout.com/careers,https://www.checkout.com/contact
GoCardless,https://gocardless.com/about/careers/,https://gocardless.com/contact/
Stripe (London),https://stripe.com/jobs/search?office_locations%5B%5D=london,https://stripe.com/contact
Square (Block) UK,https://careers.squareup.com/locations/london,https://squareup.com/gb/en/contact
PayPal UK,https://www.paypal.com/uk/webapps/mpp/jobs,https://www.paypal.com/uk/smarthelp/contact-us
TikTok (ByteDance) UK,https://careers.tiktok.com/position?keywords=&category=&location=London,https://www.tiktok.com/legal/report/feedback?lang=en
Spotify (London),https://www.lifeatspotify.com/locations/london,https://support.spotify.com/uk/contact-spotify-support/
Netflix (UK),https://jobs.netflix.com/locations/london,https://help.netflix.com/en/contactus
NVIDIA (UK),https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite?locations=5a4a9b6a8a03010f4b3d3d0f1a006400,https://www.nvidia.com/en-gb/about-nvidia/contact/
Cisco UK,https://jobs.cisco.com/jobs/SearchJobs/?3_109_3=3128,https://www.cisco.com/c/en_uk/about/contact-cisco.html
Atlassian (UK),https://www.atlassian.com/company/careers/all-jobs#location=London%2C%20United%20Kingdom,https://www.atlassian.com/company/contact
ServiceNow (UK),https://careers.servicenow.com/en/jobs/?location=London%2C%20United%20Kingdom,https://www.servicenow.com/company/contact-us.html
Snowflake (UK),https://careers.snowflake.com/us/en/search-results?keywords=&p=ChIJdd4hrwug2EcRmSrV3Vo6llI,https://www.snowflake.com/en/contact/
Databricks (UK),https://www.databricks.com/company/careers/open-positions?location=London,https://www.databricks.com/company/contact
MongoDB (UK),https://www.mongodb.com/careers/locations/london,https://www.mongodb.com/contact
Elastic (UK),https://www.elastic.co/about/careers,https://www.elastic.co/contact
HashiCorp (UK),https://www.hashicorp.com/careers/openings?location=London%2C%20United%20Kingdom,https://www.hashicorp.com/contact
Cloudflare (UK),https://www.cloudflare.com/careers/jobs/?location=London,https://www.cloudflare.com/help/
OpenAI (London),https://openai.com/careers,https://help.openai.com/en/
EPAM Systems (UK),https://www.epam.com/careers/job-listings?country=United%20Kingdom&city=London,https://www.epam.com/about/who-we-are/contact
Cognizant UK,https://careers.cognizant.com/uk/en,https://www.cognizant.com/gb/en/contact-us
Infosys UK,https://www.infosys.com/careers/uk.html,https://www.infosys.com/contact.html
HCLTech UK,https://www.hcltech.com/careers/careers-in-uk,https://www.hcltech.com/contact-us
Wipro UK,https://careers.wipro.com/careers-home/jobs?country=United%20Kingdom,https://www.wipro.com/contact-wipro/
TCS (Tata Consultancy Services) UK,https://www.tcs.com/careers/tcs-uk,https://www.tcs.com/contact-us
Thoughtworks (UK),https://www.thoughtworks.com/en-gb/careers/jobs?location=london,https://www.thoughtworks.com/en-gb/about-us/contact-us
Endava (UK),https://www.endava.com/Careers,https://www.endava.com/Contact
Globant (UK),https://www.globant.com/careers,https://www.globant.com/contact-us
Canonical (Ubuntu),https://canonical.com/careers,https://canonical.com/contact
Snyk (London),https://snyk.io/careers/open-roles/,https://snyk.io/contact-us/
Improbable,https://improbable.io/careers,https://improbable.io/contact
Thought Machine,https://www.thoughtmachine.net/careers,https://www.thoughtmachine.net/contact
Zopa,https://www.zopa.com/careers,https://www.zopa.com/contact
Funding Circle,https://www.fundingcircle.com/uk/careers/,https://www.fundingcircle.com/uk/contact-us/
SumUp,https://sumup.com/careers/locations/london/,https://help.sumup.com/en-GB/articles/1
Klarna (UK),https://www.klarna.com/careers/locations/london/,https://www.klarna.com/uk/customer-service/
"Stripe (EMEA HQ Dublin, London office)",https://stripe.com/jobs/search?office_locations%5B%5D=london,https://stripe.com/contact
Government Digital Service (GDS),https://www.gov.uk/government/organisations/government-digital-service/about/recruitment,https://www.gov.uk/government/organisations/government-digital-service/about/access-and-contacts
